date,hour,demand
18-08-2018,9,91
18-08-2018,10,21
18-08-2018,13,23
18-08-2018,14,104
18-08-2018,15,81
18-08-2018,16,37
18-08-2018,17,27
18-08-2018,18,66
18-08-2018,19,80
18-08-2018,20,52
18-08-2018,21,6
18-08-2018,22,23
18-08-2018,23,21
19-08-2018,2,38
19-08-2018,8,48
19-08-2018,9,93
19-08-2018,10,21
19-08-2018,11,89
19-08-2018,12,114
19-08-2018,13,68
19-08-2018,14,65
19-08-2018,15,121
19-08-2018,16,25
19-08-2018,17,64
19-08-2018,19,91
19-08-2018,20,92
19-08-2018,21,15
19-08-2018,22,96
20-08-2018,7,81
20-08-2018,8,15
20-08-2018,9,95
20-08-2018,10,84
20-08-2018,11,92
20-08-2018,12,112
20-08-2018,13,41
20-08-2018,14,14
20-08-2018,15,22
20-08-2018,16,94
20-08-2018,17,23
20-08-2018,18,39
20-08-2018,19,50
20-08-2018,23,73
21-08-2018,7,96
21-08-2018,8,79
21-08-2018,9,19
21-08-2018,10,94
21-08-2018,11,48
21-08-2018,12,104
21-08-2018,13,25
21-08-2018,14,42
21-08-2018,15,71
21-08-2018,16,
21-08-2018,17,61
21-08-2018,18,100
21-08-2018,19,24
21-08-2018,20,8
21-08-2018,22,80
22-08-2018,0,41
22-08-2018,6,82
22-08-2018,8,13
22-08-2018,10,60
22-08-2018,11,86
22-08-2018,12,97
22-08-2018,13,56
22-08-2018,14,56
22-08-2018,15,13
22-08-2018,16,106
22-08-2018,17,31
22-08-2018,18,44
22-08-2018,19,59
22-08-2018,20,94
22-08-2018,21,27
22-08-2018,23,79
23-08-2018,8,5
23-08-2018,9,88
23-08-2018,10,
23-08-2018,11,71
23-08-2018,12,51
23-08-2018,13,93
23-08-2018,14,57
23-08-2018,15,101
23-08-2018,16,83
23-08-2018,17,47
23-08-2018,18,2
23-08-2018,19,52
23-08-2018,21,78
23-08-2018,22,84
24-08-2018,6,77
24-08-2018,8,41
24-08-2018,9,59
24-08-2018,10,34
24-08-2018,11,68
24-08-2018,12,83
24-08-2018,13,19
24-08-2018,14,114
24-08-2018,15,81
24-08-2018,16,105
24-08-2018,17,47
24-08-2018,18,30
24-08-2018,19,88
24-08-2018,20,15
24-08-2018,21,102
24-08-2018,22,43
25-08-2018,1,66
25-08-2018,7,84
25-08-2018,9,25
25-08-2018,10,7
25-08-2018,11,58
25-08-2018,12,61
25-08-2018,13,126
25-08-2018,14,38
25-08-2018,15,80
25-08-2018,16,42
25-08-2018,17,67
25-08-2018,18,36
25-08-2018,19,31
25-08-2018,20,52
25-08-2018,21,100
25-08-2018,23,68
26-08-2018,0,74
26-08-2018,2,37
26-08-2018,8,80
26-08-2018,9,12
26-08-2018,10,84
26-08-2018,11,41
26-08-2018,12,43
26-08-2018,13,100
26-08-2018,14,91
26-08-2018,15,61
26-08-2018,16,121
26-08-2018,17,17
26-08-2018,18,40
26-08-2018,19,61
26-08-2018,20,82
26-08-2018,22,25
26-08-2018,23,39
27-08-2018,8,9
27-08-2018,9,95
27-08-2018,10,40
27-08-2018,11,48
